src,VPC_Candidate,Prediction
"Ensuring you have enough sleep, of a good quality, should be a student's 'secret weapon' to combat stress, exhaustion and anxiety, he said - even to avoid putting on weight, as sleep deprivation puts the brain into starvation mode, making them constantly hungry.",putting on,positive
Entered on:,Entered on,positive
Enterprise wasn’t really bad in any way but they were never as convenient as National where I could walk up and pick out a car and drive away without waiting forever at a counter.,pick out,positive
Esper said the deployment was a first step toward addressing Iran's increasingly violent acts in the region -- including this month's drone attack on Saudi Arabian oil facilities -- and he called on other nations to step up and condemn the attacks.,step up,positive
"Established in 2000, the China Environmental Award is the most prestigious award in the field of environmental protection in China. The judging panel is made up of many Central government departments.",made up,positive
Even his final days didn't go off without a bang.,go off,positive
"Even if in 2013 he had had to endure another hall full of shrill catcalls, five years later there were great cheers, which drowned out the isolated boos.",drowned out,positive
"Even if, according to everything we know at this point in time, a health risk is all but ruled out.",ruled out,positive
"Even in three months, the officials have not managed to have the illegal portable construction and the giant advertisement taken down.",taken down,positive
"Even when the government shuts down access to Facebook and Twitter, as it frequently does, especially during protests, many people are still able to communicate via internet proxies that mask where they are.",shuts down,positive
"Even with SNP support, it would come down to a knife-edge vote for Mr Corbyn. There are 288 Tory MPs, as well as 10 Democratic Unionists, so the opposition would need some of the 34 independent MPs to come on board.",come down,positive
"Everton goalkeeper Tim Howard had to save from Sandro, Kyle Walker and Lewis Holtby, while marauding Spurs left-back Jan Vertonghen had a strong penalty appeal turned down after being clipped by Seamus Coleman.",turned down,positive
"Every business day, over the course of the specified period, the Central Bank will carry out foreign currency purchase transactions via trading on the Moscow Exchange, at regular intervals throughout the trading day.",carry out,positive
"Every year, around 17 million small 14-gram chocolate bars packaged in red and white are handed out by the flight attendants to passengers before landing.",handed out,positive
Exchanged learning experiences with the new soldiers and shared with them the growing-up stories.,growing up,positive
"Experience has shown that many fugitives hide out in holiday destinations, was the word from Europol.",hide out,positive
"Experts have pointed out that in addition to basic tourist consumption, experience is a more important consumption element.",pointed out,positive
